muscles,MIF,PCSA,OFL,TSL,LENGTH,VOLUME,RATIO,1/RATIO,PCSA/RATIO,VOLUME/RATIO
addbrev_r,625.82,10.43,0.1,0.034,0.134,1.044,0.743,1.346,14.04,1.405
addlong_r,916.8,15.28,0.104,0.127,0.23,1.589,0.448,2.23,34.071,3.543
addmagDist_r,597.295,9.955,0.168,0.083,0.248,1.677,0.666,1.503,14.958,2.519
addmagIsch_r,597.295,9.955,0.149,0.206,0.352,1.479,0.416,2.405,23.94,3.558
addmagMid_r,597.295,9.955,0.132,0.045,0.173,1.309,0.743,1.346,13.4,1.763
addmagProx_r,597.295,9.955,0.103,0.039,0.138,1.028,0.714,1.401,13.948,1.44
bflh_r,1313.184,21.886,0.095,0.317,0.411,2.083,0.228,4.384,95.96,9.133
bfsh_r,557.115,9.285,0.109,0.105,0.211,1.016,0.502,1.994,18.513,2.026
edl_r,603.498,10.058,0.079,0.423,0.501,0.799,0.155,6.452,64.898,5.157
ehl_r,285.868,4.764,0.086,0.375,0.459,0.409,0.183,5.455,25.992,2.229
fdl_r,423.177,7.053,0.051,0.434,0.484,0.36,0.103,9.712,68.498,3.501
fhl_r,907.839,15.131,0.06,0.406,0.464,0.913,0.126,7.954,120.348,7.265
gaslat_r,1575.059,26.251,0.067,0.429,0.495,1.762,0.133,7.54,197.925,13.282
gasmed_r,3115.515,51.925,0.058,0.453,0.511,3.012,0.112,8.927,463.511,26.885
glmax1_r,983.784,16.396,0.146,0.048,0.185,2.387,0.738,1.354,22.204,3.232
glmax2_r,1406.046,23.434,0.155,0.067,0.211,3.623,0.683,1.463,34.292,5.302
glmax3_r,947.754,15.796,0.164,0.068,0.22,2.584,0.69,1.45,22.904,3.746
glmed1_r,1093.467,18.224,0.073,0.056,0.125,1.325,0.554,1.805,32.888,2.391
glmed2_r,765.092,12.752,0.073,0.065,0.134,0.926,0.515,1.941,24.745,1.797
glmed3_r,871.199,14.52,0.072,0.045,0.114,1.052,0.605,1.652,23.987,1.737
glmin1_r,374.046,6.234,0.067,0.016,0.082,0.419,0.806,1.241,7.736,0.52
glmin2_r,394.82,6.58,0.055,0.026,0.081,0.363,0.682,1.466,9.647,0.533
glmin3_r,446.774,7.446,0.037,0.05,0.088,0.279,0.428,2.339,17.416,0.652
grac_r,281.311,4.689,0.225,0.17,0.392,1.055,0.566,1.766,8.282,1.863
